gpu_numbers,vc_order,time_from_start
1,2,5432334.0
1,6,5429402.0
1,7,4571731.0
1,6,5429435.0
1,6,5429582.0
1,6,5429512.0
1,6,5429532.0
1,2,5432260.0
1,6,5428671.0
1,6,5429292.0
1,6,5429519.0
1,6,5424073.0
1,6,5429191.0
1,6,5429273.0
1,6,5429141.0
1,2,5432037.0
16,11,5430849.0
1,6,5429353.0
1,6,5429227.0
1,2,5431990.0
1,6,5429303.0
1,6,5429389.0
1,6,5429039.0
1,6,5428910.0
1,6,5429358.0
1,6,5429248.0
1,6,5429237.0
1,6,5429125.0
1,6,5425603.0
1,6,5429097.0
1,6,5429094.0
1,6,5428937.0
1,6,5429058.0
1,6,5428641.0
1,6,5428404.0
1,6,5429045.0
1,6,5428949.0
1,6,5425503.0
1,6,5423979.0
1,6,5428818.0
1,6,5428991.0
1,6,5429083.0
1,6,5428764.0
1,6,5428820.0
1,6,5428804.0
1,6,5428986.0
1,6,5428842.0
1,6,5428516.0
1,6,5429175.0
1,6,5429022.0
1,6,5428472.0
1,2,5431734.0
1,6,5428772.0
1,6,5428770.0
8,14,5238518.0
1,6,5428680.0
1,6,5428874.0
1,6,5429019.0
1,6,5428873.0
1,6,5428958.0
1,6,5428737.0
1,6,5425721.0
1,6,5428735.0
1,6,5428903.0
1,6,5428510.0
1,6,5428716.0
1,6,5428636.0
1,6,5428804.0
1,6,5428606.0
1,6,5428523.0
1,6,5428975.0
1,6,5428413.0
1,6,5428714.0
1,6,5428704.0
1,6,5428556.0
1,6,5428602.0
1,6,5428645.0
1,6,5425515.0
1,6,5425482.0
1,6,5428565.0
1,6,5428781.0
1,6,5428678.0
1,6,5428600.0
1,6,5428476.0
1,6,5428568.0
1,6,5428349.0
1,6,5428444.0
1,6,5427980.0
1,6,5428586.0
1,6,5427993.0
1,6,5428346.0
1,14,5263591.0
1,6,5426056.0
1,6,5428462.0
1,6,5428360.0
4,1,5232265.0
1,6,5366256.0
1,6,5428406.0
1,6,5428279.0
1,6,5428243.0
1,6,5428391.0
1,6,5427825.0
1,6,5428488.0
1,6,5428574.0
1,6,5428062.0
1,6,5427946.0
1,6,5427947.0
1,6,5428172.0
1,6,5427949.0
1,6,5428449.0
1,6,5428432.0
1,2,5431134.0
1,6,5428213.0
1,6,5427976.0
1,6,5428110.0
1,6,5428094.0
1,6,5428172.0
1,6,5428147.0
1,6,5428380.0
1,6,5428267.0
1,6,5428136.0
1,6,5428225.0
1,6,5425511.0
1,6,5428132.0
1,6,5428317.0
1,6,5427816.0
1,6,5428178.0
1,6,5428045.0
1,6,5428023.0
1,6,5428200.0
1,6,5427679.0
1,6,5427608.0
1,6,5423834.0
1,6,5428052.0
1,6,5427758.0
1,6,5427883.0
1,6,5427886.0
1,6,5427893.0
1,6,5428075.0
1,6,5428081.0
1,6,5427718.0
1,6,5427643.0
1,6,5427850.0
1,6,5427885.0
1,6,5427908.0
1,6,5427467.0
1,6,5427783.0
1,6,5427762.0
1,6,5427249.0
1,6,5427794.0
1,6,5427988.0
1,6,5427751.0
1,6,5427856.0
1,6,5424608.0
1,6,5427807.0
1,6,5427816.0
1,6,5427666.0
1,6,5427657.0
4,1,5243874.0
1,6,5427717.0
1,2,5430534.0
1,6,5427643.0
1,6,5427576.0
1,6,5427597.0
1,6,5427595.0
1,6,5427697.0
1,6,5427535.0
1,6,5427730.0
1,6,5427450.0
1,6,5427465.0
1,6,5427539.0
1,6,5427495.0
1,6,5427558.0
1,6,5427306.0
1,6,5427207.0
1,6,5424480.0
1,6,5430256.0
1,6,5427549.0
1,6,5427629.0
1,6,5427384.0
1,6,5427372.0
1,6,5427432.0
1,6,5427505.0
1,6,5424389.0
1,6,5427501.0
1,6,5427358.0
1,6,5427421.0
1,6,5427154.0
1,6,5427335.0
1,6,5427264.0
1,6,5427370.0
1,6,5427438.0
1,6,5427061.0
1,6,5427222.0
1,6,5429310.0
1,6,5427207.0
1,6,5427290.0
1,6,5426550.0
0,6,5427325.0
1,6,5427237.0
1,6,5427298.0
1,6,5427104.0
1,6,5427153.0
1,6,5427179.0
1,6,5427187.0
1,6,5426822.0
1,6,5424370.0
1,6,5427268.0
1,6,5426993.0
1,6,5427136.0
1,6,5427040.0
1,2,5429934.0
1,6,5427108.0
1,6,5427210.0
1,6,5427095.0
1,6,5427048.0
1,6,5427087.0
1,6,5427078.0
1,6,5426637.0
1,6,5424052.0
1,6,5427122.0
